{4.0000000048799365, 1. + 1.9799626346488526*^-10*I}
{4.000000078074725, 0.9999999999999994 + 3.167767709604742*^-9*I}
{4.000000395217447, 0.9999999999999938 + 1.6035369143659358*^-8*I}
{4.000001248923828, 0.9999999999999648 + 5.067325196324549*^-8*I}
{4.0000030486336, 0.9999999999998656 + 1.2369381798090997*^-7*I}
{4.000006320389338, 0.9999999999995983 + 2.564404222100915*^-7*I}
{4.000011706553726, 0.9999999999989856 + 4.749758519404868*^-7*I}
{4.000019965466433, 0.9999999999977345 + 8.100683170672064*^-7*I}
{4.000031971042059, 0.999999999995391 + 1.2971749941253151*^-6*I}
{4.000048712310884, 0.9999999999912841 + 1.9764231737577493*^-6*I}
{4.000071292904347, 0.9999999999844541 + 2.892589068336951*^-6*I}
{4.000100930487503, 0.9999999999735626 + 4.095074343082084*^-6*I}
{4.000138956140858, 0.9999999999567748 + 5.637880440166181*^-6*I}
{4.000186813694302, 0.9999999999316083 + 7.579580770886265*^-6*I}
{4.0002460590160105, 0.9999999998947351 + 9.98329085587106*^-6*I}
{4.000318359259431, 0.9999999998417263 + 0.000012916636497435666*I}
{4.0004054920717, 0.9999999997667222 + 0.000016451720071499283*I}
{4.0005093447669795, 0.9999999996620124 + 0.0000206650850289462*I}
{4.0006319134684505, 0.9999999995175081 + 0.000025637678697982016*I}
{4.000775302222831, 0.9999999993200861 + 0.00003145481348004604*I}
{4.000941722091489, 0.9999999990527888 + 0.000038206126532404976*I}
{4.001133490222371, 0.9999999986938607 + 0.00004598553803097285*I}
{4.001353028907094, 0.9999999982156084 + 0.00005489120810754102*I}
{4.001602864627732, 0.9999999975830716 + 0.00006502549255684662*I}
{4.001885627097907, 0.9999999967524981 + 0.00007649489741110889*I}
{4.0022040483029535, 0.9999999956696181 + 0.00008941003248306982*I}
{4.002560961544007, 0.9999999942677177 + 0.00010388556398326393*I}
{4.002959300490973, 0.9999999924655136 + 0.00012004016632305969*I}
{4.003402098249421, 0.9999999901648299 + 0.00013799647322156015*I}
{4.0038924864465315, 0.9999999872480804 + 0.00015788102824108478*I}
{4.00443369434127, 0.9999999835755511 + 0.0001798242348818854*I}
{4.005029047964062, 0.9999999789824777 + 0.00020396030637112646*I}
{4.005681969291232, 0.9999999732759002 + 0.00023042721528323902*I}
{4.006395975459594, 0.9999999662312729 + 0.000259366643128024*I}
{4.00717467802652, 0.9999999575888006 + 0.00029092393003917204*I}
{4.008021782280932, 0.9999999470494635 + 0.00032524802468943635*I}
{4.00894108661061, 0.9999999342706912 + 0.00036249143455017633*I}
{4.009936481931277, 0.9999999188616466 + 0.0004028101766033265*I}
{4.0110119511828906, 0.9999999003780792 + 0.00044636372860414503*I}
{4.012171568898606, 0.9999998783167158 + 0.0004933149809844304*I}
{4.013419500851852, 0.9999998521091618 + 0.0005438301894791803*I}
{4.014760003786985, 0.999999821115293 + 0.0005980789285554768*I}
{4.016197425238942, 0.9999997846161295 + 0.0006562340457209234*I}
{4.017736203447363, 0.9999997418061886 + 0.0007184716167900361*I}
{4.0193808673705815, 0.9999996917853164 + 0.0007849709021900652*I}
{4.021136036804924, 0.9999996335500094 + 0.0008559143043920421*I}
{4.023006422614737, 0.9999995659842261 + 0.0009314873265575049*I}
{4.024996827078543, 0.9999994878496994 + 0.0010118785324955211*I}
{4.027112144356737, 0.9999993977757463 + 0.0010972795080275261*I}
{4.029357361086243, 0.999999294248574 + 0.0011878848238586178*I}
{4.031737557107532, 0.9999991756000681 + 0.0012838920000529765*I}
{4.03425790632944, 0.9999990399960483 + 0.0013855014722079727*I}
{4.036923677737223, 0.9999988854239678 + 0.0014929165594164528*I}
{4.039740236549314, 0.9999987096800262 + 0.001606343434099994*I}
{4.042713045528288, 0.9999985103556672 + 0.0017259910937880594*I}
{4.04584766645157, 0.9999982848234229 + 0.0018520713349094702*I}
{4.049149761747469, 0.999998030222072 + 0.0019847987286539352*I}
{4.05262509630221, 0.9999977434410774 + 0.002124390598953024*I}
{4.056279539443648, 0.999997421104268 + 0.0022710670026222708*I}
{4.060119067107526, 0.9999970595527377 + 0.0024250507116993134*I}
{4.064149764192138, 0.9999966548269316 + 0.002586567198007311*I}
{4.068377827107431, 0.999996202647898 + 0.002755844619968272*I}
{4.072809566524719, 0.9999956983976825 + 0.002933113811687427*I}
{4.077451410333255, 0.9999951370988479 + 0.0031186082743271926*I}
{4.082309906810166, 0.999994513393103 + 0.0033125641697874133*I}
{4.087391728010344, 0.9999938215190242 + 0.0035152203167072645*I}
{4.0927036733831645, 0.9999930552888565 + 0.0037268181888031743*I}
{4.0982526736230565, 0.9999922080643773 + 0.003947601915556212*I}
{4.104045794761242, 0.999991272731806 + 0.004177818285261335*I}
{4.110090242506189, 0.9999902416757434 + 0.004417716750449623*I}
{4.116393366840638, 0.9999891067521166 + 0.004667549435692926*I}
{4.122962666883355, 0.9999878592601085 + 0.0049275711477982705*I}
{4.129805796024092, 0.9999864899130432 + 0.005198039388396712*I}
{4.136930567340654, 0.9999849888081984 + 0.005479214368928313*I}
{4.144344959307283, 0.9999833453955117 + 0.005771359028021352*I}
{4.152057121804065, 0.9999815484451446 + 0.006074739051260075*I}
{4.16007538243749, 0.9999795860138664 + 0.006389622893331114*I}
{4.168408253182765, 0.9999774454102148 + 0.006716281802534425*I}
{4.177064437359042, 0.9999751131583945 + 0.007054989847640252*I}
{4.1860528369492505, 0.999972574960864 + 0.007406023947069236*I}
{4.19538256027682, 0.9999698156595688 + 0.007769663900368705*I}
{4.205062930052235, 0.999966819195771 + 0.008146192421954105*I}
{4.215103491803007, 0.9999635685684288 + 0.008535895177080956*I}
{4.225514022701408, 0.9999600457910769 + 0.008939060820009323*I}
{4.236304540805039, 0.9999562318471572 + 0.009355981034319897*I}
{4.247485314726133, 0.9999521066437524 + 0.009786950575338182*I}
{4.2590668737463915, 0.9999476489636695 + 0.010232267314621216*I}
{4.271060018394988, 0.9999428364158236 + 0.010692232286459429*I}
{4.283475831508457, 0.9999376453838692 + 0.011167149736344936*I}
{4.296325689792119, 0.9999320509730268 + 0.011657327171356507*I}
{4.309621275903861, 0.9999260269550505 + 0.012163075412410755*I}
{4.323374591082214, 0.9999195457112792 + 0.012684708648328573*I}
{4.337597968341927, 0.9999125781737168 + 0.013222544491665749*I}
