{4.0000000048799365, 1. - 2.3384068451697485*^-10*I}
{4.000000078074725, 0.9999999999999976 - 3.7412471978559*^-9*I}
{4.000000395217447, 0.9999999999999719 - 1.8938345253093396*^-8*I}
{4.000001248923828, 0.9999999999998425 - 5.984692187631261*^-8*I}
{4.0000030486336, 0.9999999999993991 - 1.4608680235725377*^-7*I}
{4.000006320389338, 0.999999999998207 - 3.0286519932308903*^-7*I}
{4.000011706553726, 0.9999999999954832 - 5.60963055147668*^-7*I}
{4.000019965466433, 0.9999999999899494 - 9.567184047214471*^-7*I}
{4.000031971042059, 0.9999999999796617 - 1.5320067911299627*^-6*I}
{4.000048712310884, 0.9999999999618221 - 2.3342187718486233*^-6*I}
{4.000071292904347, 0.9999999999325757 - 3.416234557436574*^-6*I}
{4.000100930487503, 0.9999999998868013 - 4.836395828141422*^-6*I}
{4.000138956140858, 0.999999999817904 - 6.658474776036478*^-6*I}
{4.000186813694302, 0.999999999717618 - 8.951640421064823*^-6*I}
{4.0002460590160105, 0.9999999995758299 - 0.000011790422248528494*I}
{4.000318359259431, 0.9999999993804275 - 0.000015254671213206916*I}
{4.0004054920717, 0.9999999991171773 - 0.000019429518151801196*I}
{4.0005093447669795, 0.9999999987696216 - 0.00002440532964159346*I}
{4.0006319134684505, 0.9999999983189759 - 0.000030277661340412712*I}
{4.000775302222831, 0.9999999977439853 - 0.000037147208843082336*I}
{4.000941722091489, 0.9999999970206788 - 0.00004511975609481772*I}
{4.001133490222371, 0.9999999961219325 - 0.00005430612141509721*I}
{4.001353028907094, 0.9999999950167257 - 0.00006482210120870476*I}
{4.001602864627732, 0.9999999936689505 - 0.00007678841147552413*I}
{4.001885627097907, 0.9999999920356224 - 0.00009033062727736727*I}
{4.0022040483029535, 0.9999999900643344 - 0.00010557912037660742*I}
{4.002560961544007, 0.9999999876898211 - 0.00012266899532297393*I}
{4.002959300490973, 0.9999999848295372 - 0.00014174002432411616*I}
{4.003402098249421, 0.9999999813782251 - 0.00016293658128274562*I}
{4.0038924864465315, 0.9999999772015328 - 0.00018640757540749697*I}
{4.00443369434127, 0.9999999721288486 - 0.00021230638479594654*I}
{4.005029047964062, 0.9999999659456209 - 0.00024079079033920443*I}
{4.005681969291232, 0.9999999583855206 - 0.0002720229102058899*I}
{4.006395975459594, 0.9999999491228643 - 0.0003061691350335834*I}
{4.00717467802652, 0.9999999377657209 - 0.00034340006379985407*I}
{4.008021782280932, 0.9999999238500789 - 0.0003838904401812126*I}
