{4.0000000048799365, 0.9342736251172151}
{4.000000078074725, 0.9342736257271476 - 1.6265545751683678*^-9*I}
{4.000000395217447, 0.9342736285447942 - 1.852348410938876*^-8*I}
{4.000001248923828, 0.934273637541462 - 1.0403506854657206*^-7*I}
{4.0000030486336, 0.934273663250028 - 3.9658682352767473*^-7*I}
{4.000006320389338, 0.9342737333942075 - 1.1828806640969233*^-6*I}
{4.000011706553726, 0.9342739145565065 - 2.9777200555782502*^-6*I}
{4.000019965466433, 0.9342743506919085 - 6.618542843848112*^-6*I}
{4.000031971042059, 0.9342753252573788 - 0.000013371308629969405*I}
{4.000048712310884, 0.9342773543432671 - 0.00002504245744347951*I}
{4.000071292904347, 0.9342813182734265 - 0.000044089184660270233*I}
{4.000100930487503, 0.9342886384540162 - 0.00007371731216798363*I}
{4.000138956140858, 0.9343015045329612 - 0.00011795271749469372*I}
{4.000186813694302, 0.9343231539140863 - 0.0001816688683581043*I}
{4.0002460590160105, 0.9343582011191556 - 0.00027054989682360336*I}
{4.000318359259431, 0.9344130082685053 - 0.00039096638189882953*I}
{4.0004054920717, 0.9344960800842136 - 0.0005497402783161441*I}
{4.0005093447669795, 0.934618457583659 - 0.0007537770168254186*I}
{4.0006319134684505, 0.9347940746248165 - 0.0010095475085421376*I}
{4.000775302222831, 0.9350400316650337 - 0.0013224113046025627*I}
{4.000941722091489, 0.9353767328663211 - 0.0016957849085133985*I}
{4.001133490222371, 0.935827827710286 - 0.0021301761601066663*I}
{4.001353028907094, 0.9364198984321579 - 0.002622125999309108*I}
{4.001602864627732, 0.9371818416184537 - 0.003163121272389012*I}
{4.001885627097907, 0.938143907583577 - 0.0037385642261405267*I}
{4.0022040483029535, 0.9393363851809602 - 0.004326902886636584*I}
{4.002560961544007, 0.9407879518712978 - 0.0048990381496188465*I}
{4.002959300490973, 0.9425237470924811 - 0.00541812467730341*I}
{4.003402098249421, 0.9445632677071661 - 0.005839870818169073*I}
{4.0038924864465315, 0.9469182227549092 - 0.006113416269246567*I}
{4.00443369434127, 0.9495905154037957 - 0.006182825480187213*I}
{4.005029047964062, 0.9525705374508385 - 0.005989182440277309*I}
{4.005681969291232, 0.9558359615257334 - 0.005473213234296136*I}
{4.006395975459594, 0.9593511957573182 - 0.004578303051787013*I}
{4.00717467802652, 0.9630676250619127 - 0.0032537215256415244*I}
{4.008021782280932, 0.9669247052248808 - 0.00145783151058065*I}
{4.00894108661061, 0.9708519060062375 + 0.0008389624813867398*I}
{4.009936481931277, 0.9747714249884215 + 0.003651765459523396*I}
{4.0110119511828906, 0.9786015230981898 + 0.006979453479638415*I}
{4.012171568898606, 0.9822602736984926 + 0.01080380611901707*I}
{4.013419500851852, 0.9856694764696464 + 0.015089603922185852*I}
{4.014760003786985, 0.9887584692937549 + 0.01978570888331068*I}
{4.016197425238942, 0.9914675775452628 + 0.024827068695266775*I}
{4.017736203447363, 0.9937509692627496 + 0.030137514596292637*I}
{4.0193808673705815, 0.9955787328517801 + 0.035633164848747526*I}
{4.021136036804924, 0.9969380556661923 + 0.04122620598778261*I}
{4.023006422614737, 0.997833450493197 + 0.04682880452292264*I}
{4.024996827078543, 0.99828604597574 + 0.05235690300621708*I}
{4.027112144356737, 0.9983320203346371 + 0.057733674492247276*I}
{4.029357361086243, 0.9980203105939056 + 0.06289244501617129*I}
{4.031737557107532, 0.9974097685848727 + 0.06777894039961346*I}
{4.03425790632944, 0.9965659586562036 + 0.07235276662863102*I}
{4.036923677737223, 0.9955578001300177 + 0.0765880875063427*I}
{4.039740236549314, 0.9944542512968049 + 0.08047351506394179*I}
{4.042713045528288, 0.9933212132849668 + 0.08401127392869066*I}
{4.04584766645157, 0.9922188042454376 + 0.08721573806953363*I}
{4.049149761747469, 0.9911991200098573 + 0.09011146563566136*I}
{4.05262509630221, 0.9903045597518445 + 0.09273087446245877*I}
{4.056279539443648, 0.9895667570029327 + 0.09511170752904312*I}
{4.060119067107526, 0.9890061200441651 + 0.0972944351238879*I}
