{4.0000000048799365, -0.8274693333357094}
{4.000000078074725, -0.8274693166377716 + 4.072364360710783*^-9*I}
{4.000000395217447, -0.8274692447408749 + 4.637667797906219*^-8*I}
{4.000001248923828, -0.827469054860337 + 2.604677422987747*^-7*I}
{4.0000030486336, -0.8274686720316761 + 9.929025446946813*^-7*I}
{4.000006320389338, -0.8274680366926584 + 2.9614106873044415*^-6*I}
{4.000011706553726, -0.8274671608697726 + 7.454594655347389*^-6*I}
{4.000019965466433, -0.827466228013334 + 0.000016568209908173604*I}
{4.000031971042059, -0.8274657540286363 + 0.00003346938776969752*I}
{4.000048712310884, -0.8274668286638215 + 0.00006267518536599075*I}
{4.000071292904347, -0.8274714566557384 + 0.00011032546631789006*I}
{4.000100930487503, -0.8274830163064817 + 0.00018442245428897873*I}
{4.000138956140858, -0.8275068487880567 + 0.00029500071230081665*I}
{4.000186813694302, -0.8275509837574624 + 0.00045418243765315007*I}
{4.0002460590160105, -0.8276269952052612 + 0.0006760648358978742*I}
{4.000318359259431, -0.8277509654892358 + 0.0009763803424991969*I}
{4.0004054920717, -0.8279445152734309 + 0.0013718683516123211*I}
{4.0005093447669795, -0.8282358332806581 + 0.001879300897629999*I}
{4.0006319134684505, -0.8286606138755205 + 0.0025141164779981817*I}
{4.000775302222831, -0.8292627849913009 + 0.0032886377006900785*I}
{4.000941722091489, -0.830094887253465 + 0.004209880794615204*I}
{4.001133490222371, -0.8312179516276114 + 0.0052770081691937845*I}
{4.001353028907094, -0.8327007222754995 + 0.006478527430005156*I}
{4.001602864627732, -0.8346180880999597 + 0.007789397817042699*I}
{4.001885627097907, -0.8370486242163238 + 0.009168262073165482*I}
{4.0022040483029535, -0.8400712048021856 + 0.010555070557464298*I}
{4.002560961544007, -0.8437607299996094 + 0.011869396144271729*I}
{4.002959300490973, -0.848183106728766 + 0.013009744301075403*I}
{4.003402098249421, -0.8533897276385295 + 0.013854135512651454*I}
{4.0038924864465315, -0.8594117920040413 + 0.014262172937926676*I}
{4.00443369434127, -0.8662548933417037 + 0.014078707520770176*I}
{4.005029047964062, -0.8738943470771919 + 0.013139081877791801*I}
{4.005681969291232, -0.8822717363756274 + 0.011275784741209681*I}
{4.006395975459594, -0.891293108436805 + 0.0083261954918582*I}
{4.00717467802652, -0.9008291566764681 + 0.004140961669846216*I}
{4.008021782280932, -0.9107175827815217 - 0.0014075507236488074*I}
{4.00894108661061, -0.9207676597297422 - 0.008417348978643577*I}
{4.009936481931277, -0.9307668305300384 - 0.016950059301711888*I}
{4.0110119511828906, -0.9404889981219356 - 0.027025875295126643*I}
{4.012171568898606, -0.9497040095166076 - 0.038620641037136964*I}
{4.013419500851852, -0.9581877284817089 - 0.05166534102553034*I}
{4.014760003786985, -0.965732036953053 - 0.06604808453187255*I}
{4.016197425238942, -0.9721541102092689 - 0.08161848137816691*I}
{4.017736203447363, -0.9773043720578187 - 0.09819412891703064*I}
{4.0193808673705815, -0.9810726451709021 - 0.11556878252048586*I}
{4.021136036804924, -0.9833921551408203 - 0.1335216761619831*I}
{4.023006422614737, -0.9842412092263771 - 0.15182740230082967*I}
{4.024996827078543, -0.9836425362059212 - 0.1702657522970061*I}
{4.027112144356737, -0.9816604277714712 - 0.1886309560965491*I}
{4.029357361086243, -0.978395952845486 - 0.20673983518648154*I}
{4.031737557107532, -0.9739806160515148 - 0.22443848560759494*I}
{4.03425790632944, -0.9685688961627049 - 0.2416072268663372*I}
{4.036923677737223, -0.9623301291670179 - 0.25816367686057123*I}
{4.039740236549314, -0.9554401961686226 - 0.27406393261588863*I}
{4.042713045528288, -0.9480734435217231 - 0.2893019438183011*I}
{4.04584766645157, -0.9403952076351679 - 0.30390725518491285*I}
{4.049149761747469, -0.9325552466919594 - 0.31794136131374323*I}
{4.05262509630221, -0.924682302930205 - 0.3314929626195728*I}
{4.056279539443648, -0.9168799383624501 - 0.3446724339327288*I}
{4.060119067107526, -0.9092237091345884 - 0.357605820350907*I}
{4.064149764192138, -0.9017596732449492 - 0.37042866098968885*I}
{4.068377827107431, -0.8945041659377505 - 0.38327991391701016*I}
{4.072809566524719, -0.8874447284628846 - 0.396296218500479*I}
{4.077451410333255, -0.8805420397277063 - 0.4096066882501155*I}
{4.082309906810166, -0.8737326764671339 - 0.4233283812801066*I}
{4.087391728010344, -0.8669325150736387 - 0.43756254955048285*I}
{4.0927036733831645, -0.8600405858396262 - 0.45239172435039704*I}
{4.0982526736230565, -0.8529431964667047 - 0.4678776557554296*I}
{4.104045794761242, -0.8455181545552372 - 0.48406008920046883*I}
{4.110090242506189, -0.8376389366662487 - 0.5009563335389864*I}
{4.116393366840638, -0.8291786728021465 - 0.5185615522731524*I}
