{4.0000000048799365, 0. + 0.9999999999999207*I}
{4.000000078074725, 9.149427773767436*^-9 + 0.9999999908505722*I}
{4.000000395217447, 4.8792264550637004*^-8 + 0.9999999512077354*I}
{4.000001248923828, 1.5550552939054307*^-7 + 0.9999998444944707*I}
{4.0000030486336, 3.8046906966905473*^-7 + 0.9999996195309303*I}
{4.000006320389338, 7.894378187826705*^-7 + 0.999999210562181*I}
{4.000011706553726, 1.4627060922357425*^-6 + 0.9999985372939065*I}
{4.000019965466433, 2.4950640515141627*^-6 + 0.999997504935942*I}
{4.000031971042059, 3.9957463978180045*^-6 + 0.9999960042535736*I}
{4.000048712310884, 6.088373371921837*^-6 + 0.9999939116265234*I}
{4.000071292904347, 8.910884156312215*^-6 + 0.9999910891155122*I}
{4.000100930487503, 0.000012615462808175988 + 0.9999873845362682*I}
{4.000138956140858, 0.000017368456909144238 + 0.9999826315408029*I}
{4.000186813694302, 0.000023350289220374868 + 0.9999766497057268*I}
{4.0002460590160105, 0.000030755362810796244 + 0.9999692446273282*I}
{4.000318359259431, 0.00003979196042619825 + 0.9999602080231106*I}
{4.0004054920717, 0.00005068213934445205 + 0.9999493178395283*I}
{4.0005093447669795, 0.0000636616236840658 + 0.9999363383658643*I}
{4.0006319134684505, 0.0000789796971658834 + 0.9999210203546993*I}
{4.000775302222831, 0.00009689910071825898 + 0.9999031011504357*I}
{4.000941722091489, 0.00011769594106187185 + 0.999882304829174*I}
{4.001133490222371, 0.00014165961841410856 + 0.9998583423562861*I}
{4.001353028907094, 0.00016909278346321927 + 0.9998309117727697*I}
{4.001602864627732, 0.00020031133530294895 + 0.9997996984284535*I}
{4.001885627097907, 0.00023564447231282906 + 0.9997643752898804*I}
{4.0022040483029535, 0.00027543480587559853 + 0.999724603363646*I}
{4.002560961544007, 0.000320038540795221 + 0.9996800322922538*I}
{4.002959300490973, 0.0003698257143812741 + 0.9996303011988443*I}
{4.003402098249421, 0.00042518046616709727 + 0.9995750398784293*I}
{4.0038924864465315, 0.000486501279800462 + 0.9995138704545592*I}
{4.00443369434127, 0.0005542010956741336 + 0.9994464096385842*I}
