{4.0000000048799365, 0.956966336320917 - 0.267446456294758*I}
{4.000000078074725, 0.9420669309778611 - 0.3089168955992996*I}
{4.000000395217447, 0.9295226972818506 - 0.3394274558758547*I}
{4.000001248923828, 0.9180246217339851 - 0.3647884565347485*I}
{4.0000030486336, 0.9070938907413205 - 0.3870560325074135*I}
{4.000006320389338, 0.896494142895387 - 0.40722636076511276*I}
{4.000011706553726, 0.8860891387058725 - 0.42586781599646145*I}
{4.000019965466433, 0.8757925169254943 - 0.44334008318379303*I}
{4.000031971042059, 0.8655460486280123 - 0.45988801510910743*I}
{4.000048712310884, 0.8553089220299511 - 0.4756877346578999*I}
{4.000071292904347, 0.8450519748773938 - 0.4908715704876855*I}
{4.000100930487503, 0.8347543926728841 - 0.5055425353357048*I}
{4.000138956140858, 0.8244017360000789 - 0.5197831898245361*I}
{4.000186813694302, 0.8139847266357034 - 0.5336612834436446*I}
{4.0002460590160105, 0.8034984834327181 - 0.5472334391155436*I}
{4.000318359259431, 0.792942028339284 - 0.5605475914052692*I}
{4.0004054920717, 0.7823179506903022 - 0.573644596611724*I}
{4.0005093447669795, 0.7716321551227535 - 0.5865592726236887*I}
{4.0006319134684505, 0.7608936398652522 - 0.5993210352042971*I}
{4.000775302222831, 0.7501142652088243 - 0.611954244320447*I}
{4.000941722091489, 0.7393084807093153 - 0.6244783430412106*I}
{4.001133490222371, 0.7284929864039015 - 0.6369078534540985*I}
{4.001353028907094, 0.7176863094207829 - 0.649252283787738*I}
{4.001602864627732, 0.7069082836541438 - 0.6615159952597028*I}
{4.001885627097907, 0.6961794271342527 - 0.6736980739423624*I}
{4.0022040483029535, 0.6855202195317492 - 0.6857922506234736*I}
{4.002560961544007, 0.6749502908361825 - 0.6977869090758786*I}
{4.002959300490973, 0.664487541355426 - 0.7096652194602888*I}
{4.003402098249421, 0.6541472223030408 - 0.7214054281289034*I}
{4.0038924864465315, 0.64394101471342 - 0.7329813274917786*I}
{4.00443369434127, 0.6338761514737057 - 0.7443629197491285*I}
{4.005029047964062, 0.623954632074027 - 0.7555172763818203*I}
{4.005681969291232, 0.6141725814981598 - 0.766409581839777*I}
{4.006395975459594, 0.6045198029105181 - 0.7770043356706082*I}
{4.00717467802652, 0.5949795681068687 - 0.787266673412845*I}
{4.008021782280932, 0.5855286800874213 - 0.7971637540978109*I}
{4.00894108661061, 0.5761378289664131 - 0.8066661523322475*I}
{4.009936481931277, 0.5667722465182511 - 0.8157491867186718*I}
{4.0110119511828906, 0.5573926470750772 - 0.8243941146065311*I}
{4.012171568898606, 0.5479564245685996 - 0.8325891262864424*I}
