{4.0000000048799365, -0.9107994491158239}
{4.000000078074725, -0.910799431633254}
{4.000000395217447, -0.9107993558837666}
{4.000001248923828, -0.9107991519768329}
{4.0000030486336, -0.9107987221266092 + 2.46759326497334*^-10*I}
{4.000006320389338, -0.9107979407541149 + 1.5252181761247717*^-9*I}
{4.000011706553726, -0.9107966547841301 + 7.106548128648424*^-9*I}
{4.000019965466433, -0.9107946845514086 + 2.6910664801730936*^-8*I}
{4.000031971042059, -0.9107918263473586 + 8.6923625693242*^-8*I}
{4.000048712310884, -0.9107878588337052 + 2.47500831603946*^-7*I}
{4.000071292904347, -0.9107825576297084 + 6.358508970769113*^-7*I}
{4.000100930487503, -0.9107757256878896 + 1.4992340215044596*^-6*I}
{4.000138956140858, -0.9107672519294702 + 3.2859378938028948*^-6*I}
{4.000186813694302, -0.9107572172062398 + 6.760060723141852*^-6*I}
{4.0002460590160105, -0.910746074901806 + 0.00001315241413759407*I}
{4.000318359259431, -0.9107349428177749 + 0.00002434208920166758*I}
{4.0004054920717, -0.9107260521483382 + 0.00004304993289248246*I}
{4.0005093447669795, -0.9107234061670659 + 0.0000730050575027468*I}
{4.0006319134684505, -0.9107337025446094 + 0.00011901784873157495*I}
{4.000775302222831, -0.9107675648221529 + 0.0001868582188362863*I}
{4.000941722091489, -0.9108411056688911 + 0.00028279837000322864*I}
{4.001133490222371, -0.9109778023806514 + 0.0004126398495452988*I}
{4.001353028907094, -0.9112106000061031 + 0.0005800128171426896*I}
{4.001602864627732, -0.9115840685088574 + 0.0007837216407782588*I}
{4.001885627097907, -0.9121563307520348 + 0.0010139276778031432*I}
{4.0022040483029535, -0.9130003568683109 + 0.0012470202656432352*I}
{4.002560961544007, -0.9142041034645759 + 0.0014391412642795615*I}
{4.002959300490973, -0.9158688852445793 + 0.0015185022638721203*I}
{4.003402098249421, -0.9181053287613126 + 0.0013768632547904987*I}
{4.0038924864465315, -0.9210263008970534 + 0.0008608119473317664*I}
{4.00443369434127, -0.9247363519431252 - 0.00023623414130529913*I}
{4.005029047964062, -0.9293174782971516 - 0.0021801252998211694*I}
{4.005681969291232, -0.9348113904201161 - 0.005298819526905119*I}
{4.006395975459594, -0.9411989454797627 - 0.009980552312785617*I}
{4.00717467802652, -0.9483779277607528 - 0.01666603579010254*I}
{4.008021782280932, -0.9561408720259246 - 0.02583369124890641*I}
{4.00894108661061, -0.9641550528684014 - 0.03797741774588876*I}
{4.009936481931277, -0.9719470328042995 - 0.05357706556729639*I}
{4.0110119511828906, -0.9788942100412703 - 0.0730625610891362*I}
{4.012171568898606, -0.9842255919097987 - 0.09677343992028908*I}
{4.013419500851852, -0.987033530665158 - 0.12491629464467009*I}
{4.014760003786985, -0.986297418293898 - 0.15752323663642967*I}
{4.016197425238942, -0.9809194034497145 - 0.19441482437243449*I}
{4.017736203447363, -0.9697711518222594 - 0.2351709629261986*I}
{4.0193808673705815, -0.9517496237830714 - 0.2791130026536669*I}
{4.021136036804924, -0.9258388976029371 - 0.3252996677123667*I}
{4.023006422614737, -0.8911743221693184 - 0.37253857093901555*I}
{4.024996827078543, -0.8471048192648931 - 0.4194139949829717*I}
{4.027112144356737, -0.7932490227568395 - 0.46433043596430157*I}
{4.029357361086243, -0.7295411577288043 - 0.5055702209517968*I}
{4.031737557107532, -0.6562631099201444 - 0.5413624284143055*I}
{4.03425790632944, -0.5740599674057031 - 0.5699594535507833*I}
{4.036923677737223, -0.48393736055095943 - 0.5897169395212555*I}
{4.039740236549314, -0.3872400952986935 - 0.5991724863713197*I}
{4.042713045528288, -0.28561277447551364 - 0.5971185685481698*I}
{4.04584766645157, -0.18094424001153772 - 0.582665428024908*I}
{4.049149761747469, -0.07529866380854447 - 0.5552903270422733*I}
{4.05262509630221, 0.029163099288433945 - 0.5148703864918717*I}
{4.056279539443648, 0.13026775197099466 - 0.461697233722788*I}
{4.060119067107526, 0.22591499134457146 - 0.39647276106217494*I}
{4.064149764192138, 0.3141597728401339 - 0.32028637738865073*I}
{4.068377827107431, 0.3932873219187292 - 0.23457514899710552*I}
{4.072809566524719, 0.4618773324702583 - 0.141069112203043*I}
{4.077451410333255, 0.5188544901379333 - 0.04172475155046962*I}
{4.082309906810166, 0.5635232845779845 + 0.06134985765830959*I}
{4.087391728010344, 0.5955859687783985 + 0.16597446137152116*I}
{4.0927036733831645, 0.615143428728981 + 0.2699767528060534*I}
{4.0982526736230565, 0.6226795901266032 + 0.371269522500262*I}
{4.104045794761242, 0.619030764901278 + 0.4679214784581326*I}
{4.110090242506189, 0.6053419929940976 + 0.5582188708565653*I}
{4.116393366840638, 0.5830129383599236 + 0.6407156578278063*I}
{4.122962666883355, 0.5536362378434522 + 0.7142706230083669*I}
{4.129805796024092, 0.5189313731587409 + 0.7780705603821817*I}
{4.136930567340654, 0.4806771450553395 + 0.831639338343891*I}
{4.144344959307283, 0.440645688451084 + 0.8748333080952597*I}
{4.152057121804065, 0.40054069794483 + 0.9078241024499369*I}
{4.16007538243749, 0.36194215946308944 + 0.9310703575260618*I}
{4.168408253182765, 0.32625943342674796 + 0.9452802664288334*I}
{4.177064437359042, 0.2946940363651842 + 0.9513671327316457*I}
{4.1860528369492505, 0.2682129494018427 + 0.9504002309079255*I}
{4.19538256027682, 0.24753276959879433 + 0.9435533053807356*I}
{4.205062930052235, 0.23311453686895386 + 0.9320529591309352*I}
{4.215103491803007, 0.22516863432729073 + 0.9171290104101877*I}
{4.225514022701408, 0.22366878854329153 + 0.8999686484709553*I}
{4.236304540805039, 0.22837389865469812 + 0.8816759145118752*I}
{4.247485314726133, 0.23885620571605257 + 0.8632376910737398*I}
{4.2590668737463915, 0.25453417777351833 + 0.8454970204550201*I}
{4.271060018394988, 0.2747084299657147 + 0.8291342077940871*I}
{4.283475831508457, 0.2985990171723249 + 0.8146558129807688*I}
{4.296325689792119, 0.3253825214483773 + 0.802391310961549*I}
{4.309621275903861, 0.3542274977872263 + 0.7924969131723366*I}
{4.323374591082214, 0.3843270284185396 + 0.7849658019183464*I}
{4.337597968341927, 0.4149273559439726 + 0.7796438399112774*I}
{4.352304086261532, 0.44535180710248623 + 0.7762496815965632*I}
{4.367505983388776, 0.475019470192931 + 0.7743981316195696*I}
{4.383217073291287, 0.5034583393374634 + 0.7736255668594859*I}
{4.399451160281378, 0.5303128781782281 + 0.7734162581106119*I}
{4.416222455845554, 0.5553461760015693 + 0.7732284904185642*I}
{4.433545595811024, 0.578437063987691 + 0.7725194808627578*I}
{4.4514356582834145, 0.599572723247153 + 0.770768222040428*I}
{4.469908182391786, 0.618837446143168 + 0.7674955310745354*I}
{4.488979187879203, 0.6363983063252165 + 0.7622807499855778*I}
{4.508665195579278, 0.6524885506223822 + 0.75477471629595*I}
{4.528983248821485, 0.6673895485147818 + 0.7447087957939734*I}
{4.5499509358105135, 0.6814121245335035 + 0.7318999361509003*I}
{4.571586413027576, 0.6948780588138962 + 0.7162518550481555*I}
{4.593908429704415, 0.7081024750806012 + 0.697752615043908*I}
{4.6169363534237, 0.7213777480578037 + 0.6764689559820425*I}
{4.640690196902693, 0.7349594584979204 + 0.6525378517254096*I}
{4.66519064602043, 0.7490548086765835 + 0.6261558297785964*I}
{4.69045908915222, 0.7638137892515933 + 0.5975666393078908*I}
{4.7165176478790825, 0.7793232645814067 + 0.567047875409062*I}
{4.743389209143773, 0.7956040223752087 + 0.5348971662571949*I}
{4.771097458929365, 0.8126107188983265 + 0.5014185067321949*I}
{4.799666917540904, 0.8302345463591237 + 0.4669092795647736*I}
{4.829122976575547, 0.8483083574473759 + 0.43164844576745*I}
{4.859491937671779, 0.8666139055450702 + 0.3958863132187333*I}
{4.890801053133806, 0.8848907995100236 + 0.3598362090895943*I}
{4.92307856853316, 0.9028467301185997 + 0.32366829177516726*I}
{4.956353767395754, 0.9201685015989689 + 0.2875056445503661*I}
{4.990657018089409, 0.9365333959522288 + 0.2514226996286386*I}
{5.026019823033938, 0.9516204091621819 + 0.2154459507964727*I}
{5.062474870363548, 0.9651209256654204 + 0.17955682817880175*I}
{5.100056088179427, 0.9767484389001019 + 0.14369653248244973*I}
{5.138798701539092, 0.9862469793335822 + 0.10777256039924189*I}
{5.178739292338363, 0.9933979747717283 + 0.07166659943491195*I}
{5.219915862251736, 0.9980253384666978 + 0.035243430521085486*I}
{5.262367898907573, 0.9999986559386081 - 0.0016395488418501055*I}
{5.306136445485848, 0.9992344188429693 - 0.03912257914555949*I}
{5.351264173938383, 0.99569533101704 - 0.07733396585552262*I}
{5.397795462044484, 0.9893877854952572 - 0.11638105607636409*I}
{5.4457764745288335, 0.9803576794361021 - 0.15634211173918355*I}
{5.495255248483457, 0.9686847944169968 - 0.19725938409108637*I}
{5.546281783351545, 0.9544760205757653 - 0.23913364223288883*I}
{5.598908135748106, 0.9378577430755001 - 0.28192034837007324*I}
{5.653188519410865, 0.9189677371716708 - 0.3255276064585783*I}
{5.709179410594539, 0.8979469329791269 - 0.3698159413392198*I}
{5.766939659242906, 0.8749314124892656 - 0.41459989465141556*I}
{5.826530606295876, 0.8500449895036201 - 0.45965135421273506*I}
{5.88801620751325, 0.8233926983709173 - 0.5047044675191441*I}
{5.951463164223291, 0.7950554805832728 - 0.549461929828853*I}
{6.0169410614325045, 0.7650863106283711 - 0.593602385037256*I}
{6.084522513763596, 0.7335079455854967 - 0.6367886350969901*I}
{6.154283319721427, 0.7003124186854168 - 0.678676322662618*I}
{6.226302624822175, 0.6654623275855326 - 0.7189227331807713*I}
{6.3006630941590815, 0.6288938958118542 - 0.7571953576556153*I}
{6.377451095019287, 0.5905217132059136 - 0.7931798662260321*I}
{6.456756890210663, 0.5502449908838184 - 0.8265871654748607*I}
{6.538674842805442, 0.5079551007654451 - 0.857159248564693*I}
{6.623303633059188, 0.4635441116868478 - 0.8846735958990573*I}
{6.71074648831955, 0.41691398583192096 - 0.9089459436166522*I}
{6.801111426799643, 0.36798606283168045 - 0.9298313059690417*I}
{6.894511516156303, 0.3167104361784799 - 0.9472232132285489*I}
{6.991065147884113, 0.2630748189827652 - 0.9610512065830094*I}
{7.090896328612731, 0.207112504481301 - 0.9712767125627731*I}
{7.19413498947795, 0.14890905146951722 - 0.9778874987630567*I}
{7.300917314826844, 0.08860736576794624 - 0.9808909867001286*I}
{7.411386091614829, 0.026410905107859792 - 0.9803067632862998*I}
{7.525691080958282, -0.037415195047850916 - 0.97615868644146*I}
{7.643989413421201, -0.10254519537263353 - 0.9684670198201197*I}
{7.766446009739145, -0.1685960560154853 - 0.9572410539218482*I}
{7.893234028819334, -0.23513290268785134 - 0.9424726738573068*I}
{8.02453534500327, -0.3016764904152296 - 0.9241313162654796*I}
{8.160541056738749, -0.3677124038570632 - 0.9021607185587267*I}
{8.301452028982906, -0.4327016438863033 - 0.8764778028885187*I}
{8.447479471848409, -0.49609217226085667 - 0.84697395597598*I}
{8.598845558212473, -0.5573309241778167 - 0.8135188662157028*I}
{8.755784083234927, -0.6158757564521141 - 0.7759669642169705*I}
{8.91854116897881, -0.6712067806693933 - 0.7341663861542189*I}
{9.087376017597062, -0.7228365388594357 - 0.6879702458380459*I}
{9.262561716844106, -0.7703185159939168 - 0.6372498669750768*I}
{9.44438610199409, -0.8132535497331013 - 0.5819094979853999*I}
{9.633152678601, -0.8512937927749631 - 0.5219019147367329*I}
{9.829181610923012, -0.8841440048337419 - 0.4572442185309735*I}
{10.03281078125784, -0.9115600960223862 - 0.3880330643679174*I}
{10.244396925901311, -0.9333450059222685 - 0.314458514111477*I}
{10.464316853952305, -0.9493421759838921 - 0.23681570598036925*I}
{10.692968755748447, -0.9594270487400645 - 0.15551356974944847*I}
{10.930773608333974, -0.9634971960234536 - 0.07107989844558862*I}
{11.178176686039809, -0.9614618294658507 + 0.01583778764944066*I}
{11.435649185003339, -0.9532315690694259 + 0.10447598239651629*I}
{11.703689971278598, -0.9387094287274044 + 0.19396373515317764*I}
{11.982827463095685, -0.917784011105217 + 0.28333595431158676*I}
{12.273621658830141, -0.8903258795711644 + 0.3715511839215009*I}
{12.576666323349887, -0.8561879853504435 + 0.457513306645343*I}
{12.892591346630734, -0.8152108701362901 + 0.5400963770900928*I}
{13.22206528988512, -0.7672331379987286 + 0.6181715651155131*I}
{13.565798135947665, -0.712107399761392 + 0.690635006075612*I}
{13.924544262322435, -0.6497215468979123 + 0.7564352309149063*I}
{14.299105657139636, -0.5800248241418632 + 0.8145987990275468*I}
{14.69033540031576, -0.5030577589571078 + 0.8642527935446771*I}
{15.099141434485125, -0.41898459479236033 + 0.9046429709873333*I}
{15.526490652800511, -0.32812649037667746 + 0.9351465884245611*I}
{15.9734133335172, -0.23099341850539049 + 0.9552792582897326*I}
{16.441007954414125, -0.1283124551460759 + 0.9646955932000478*I}
{16.930446423608338, -0.021050022687455046 + 0.9631838817261384*I}
{17.442979767230547, 0.08957433395514319 + 0.950655554022695*I}
{17.979944318802545, 0.20208488218850082 + 0.9271307186894235*I}
{18.542768460051175, 0.3147592387328885 + 0.8927215376610118*I}
{19.132979968376496, 0.4256518701605412 + 0.8476156080866634*I}
{19.75221403234103, 0.5326322220674005 + 0.7920617908435612*I}
{20.40222200345161, 0.6334373039096024 + 0.7263610178625882*I}
{21.084880960266624, 0.7257376164164744 + 0.6508644838660145*I}
{21.80220416959598, 0.807214320482502 + 0.5659812518080798*I}
{22.556352539402347, 0.875644577561735 + 0.4721966598153153*I}
{23.349647169114064, 0.9289911185974382 + 0.3701020150742911*I}
{24.184583115599153, 0.9654914032953524 + 0.2604349249968868*I}
{25.063844507230012, 0.9837412950170986 + 0.1441283027495628*I}
{25.99032115452514, 0.9827680713930984 + 0.02236467513911994*I}
{26.96712682405959, 0.9620878731632033 - 0.10336897536897773*I}
{27.997619363004798, 0.9217433951041208 - 0.23123185478743932*I}
{29.08542288515683, 0.8623187417131447 - 0.35899246923359435*I}
{30.23445225606387, 0.7849298657018028 - 0.48401170308274816*I}
{31.448940145363398, 0.6911907948814766 - 0.6032532923829593*I}
{32.7334669492622, 0.5831578040628755 - 0.7133283425664614*I}
{34.092993925910605, 0.46325563410394693 - 0.8105789694360752*I}
{35.53289993202139, 0.3341915998060615 - 0.8912037588216452*I}
{37.059022201385325, 0.19886474482732747 - 0.9514245936270954*I}
{38.67770166601895, 0.06027788144017532 - 0.9876906234387255*I}
{40.395833389817405, -0.0785397895954087 - 0.9969109796956271*I}
{42.22092276427264, -0.21459287763326898 - 0.9767035870018566*I}
{44.16114820782206, -0.3449583070774987 - 0.9256434848614915*I}
