{4.0000000048799365, -0.08907428639712565}
{4.000000078074725, -0.08907428639712565}
{4.000000395217447, -0.08907428639712565}
{4.000001248923828, -0.08907428639712568}
{4.0000030486336, -0.08907428639712611}
{4.000006320389338, -0.08907428639712972}
{4.000011706553726, -0.08907428639715147}
{4.000019965466433, -0.08907428639725373}
{4.000031971042059, -0.08907428639765148}
{4.000048712310884, -0.08907428639898526}
{4.000071292904347, -0.089074286402954 + 1.5422476531213802*^-10*I}
{4.000100930487503, -0.08907428641365839 + 3.6762004857853275*^-10*I}
{4.000138956140858, -0.0890742864402522 + 8.171228045061155*^-10*I}
{4.000186813694302, -0.08907428650186947 + 1.7111960050066004*^-9*I}
{4.0002460590160105, -0.08907428663632565 + 3.403974420258027*^-9*I}
{4.000318359259431, -0.08907428691482769 + 6.47449678253695*^-9*I}
{4.0004054920717, -0.08907428746591955 + 1.1838451750845624*^-8*I}
{4.0005093447669795, -0.08907428851319091 + 2.0901881469928002*^-8*I}
{4.0006319134684505, -0.08907429043294392 + 3.576790981743216*^-8*I}
{4.000775302222831, -0.08907429384010304 + 5.9509199959530815*^-8*I}
{4.000941722091489, -0.08907429971322094 + 9.652042471588546*^-8*I}
{4.001133490222371, -0.0890743095725286 + 1.5296646248139064*^-7*I}
{4.001353028907094, -0.08907432572863884 + 2.3734320110137658*^-7*I}
{4.001602864627732, -0.08907435162376454 + 3.61168613065605*^-7*I}
{4.001885627097907, -0.08907439229216059 + 5.398220102620857*^-7*I}
{4.0022040483029535, -0.08907445497192132 + 7.935489315258136*^-7*I}
{4.002560961544007, -0.08907454990620933 + 1.1486477844971292*^-6*I}
{4.002959300490973, -0.08907469137836979 + 1.6388519698935931*^-6*I}
{4.003402098249421, -0.08907489903206159 + 2.306917574688979*^-6*I}
{4.0038924864465315, -0.08907519953433496 + 3.2064216512250852*^-6*I}
{4.00443369434127, -0.0890756286462747 + 4.403769439271179*^-6*I}
{4.005029047964062, -0.08907623377212684 + 5.980400503475741*^-6*I}
{4.005681969291232, -0.08907707706340484 + 8.035173557136634*^-6*I}
{4.006395975459594, -0.08907823915895202 + 0.000010686897687727782*I}
{4.00717467802652, -0.08907982364490495 + 0.000014076963822383897*I}
{4.008021782280932, -0.0890819623195192 + 0.000018372014687214396*I}
{4.00894108661061, -0.08908482134643038 + 0.00002376657443153687*I}
{4.009936481931277, -0.0890886083756881 + 0.000030485540818384573*I}
{4.0110119511828906, -0.08909358070440464 + 0.00003878642384538002*I}
{4.012171568898606, -0.08910005453774529 + 0.00004896119538288794*I}
{4.013419500851852, -0.0891084153959797 + 0.00006133759552955709*I}
{4.014760003786985, -0.0891191296942421 + 0.00007627972360997308*I}
{4.016197425238942, -0.08913275749848185 + 0.00009418772586825116*I}
{4.017736203447363, -0.08914996643394271 + 0.00011549637878468989*I}
{4.0193808673705815, -0.08917154669168265 + 0.00014067235741480465*I}
{4.021136036804924, -0.08919842704461067 + 0.00017020997305425205*I}
{4.023006422614737, -0.08923169174792989 + 0.00020462516464061784*I}
{4.024996827078543, -0.08927259816057038 + 0.00024444753428157575*I}
{4.027112144356737, -0.08932259488516256 + 0.00029021022967208214*I}
{4.029357361086243, -0.0893833401854623 + 0.00034243749527298063*I}
{4.031737557107532, -0.08945672040310797 + 0.00040162974009859794*I}
{4.03425790632944, -0.08954486806142908 + 0.00046824600269452973*I}
{4.036923677737223, -0.08965017931399895 + 0.0005426837330229678*I}
{4.039740236549314, -0.08977533037093544 + 0.0006252558559058625*I}
{4.042713045528288, -0.0899232925177052 + 0.0007161651305615132*I}
{4.04584766645157, -0.09009734533031712 + 0.0008154758745480895*I}
{4.049149761747469, -0.09030108768804156 + 0.0009230831768575536*I}
{4.05262509630221, -0.09053844619066241 + 0.0010386797826080982*I}
{4.056279539443648, -0.09081368060199986 + 0.0011617208892993737*I}
{4.060119067107526, -0.09113138596499594 + 0.0012913871504288024*I}
{4.064149764192138, -0.09149649106571944 + 0.0014265462349516043*I}
{4.068377827107431, -0.09191425296364761 + 0.001565713339214962*I}
{4.072809566524719, -0.09239024735270171 + 0.0017070110903519974*I}
{4.077451410333255, -0.09293035457073094 + 0.0018481293156016468*I}
{4.082309906810166, -0.09354074113326553 + 0.001986285179751501*I}
{4.087391728010344, -0.09422783672908747 + 0.0021181842122392656*I}
{4.0927036733831645, -0.09499830667911671 + 0.0022399827559964006*I}
{4.0982526736230565, -0.09585901992488112 + 0.0023472523717237717*I}
{4.104045794761242, -0.09681701267705047 + 0.002434946724042971*I}
{4.110090242506189, -0.09787944791685846 + 0.002497371460181657*I}
{4.116393366840638, -0.09905357100250128 + 0.002528157568041381*I}
{4.122962666883355, -0.10034666168771023 + 0.0025202386693490425*I}
{4.129805796024092, -0.10176598290972647 + 0.0024658326659362877*I}
{4.136930567340654, -0.10331872674810738 + 0.002356428113959105*I}
{4.144344959307283, -0.10501195799358903 + 0.002182775653069342*I}
{4.152057121804065, -0.10685255579722602 + 0.0019348847662264764*I}
{4.16007538243749, -0.1088471538940059 + 0.001602026092045129*I}
{4.168408253182765, -0.1110020799120375 + 0.0011727394563448*I}
{4.177064437359042, -0.11332329428833836 + 0.000634847733891382*I}
{4.1860528369492505, -0.11581632931542997 - 0.00002452340388170145*I}
{4.19538256027682, -0.11848622883974395 - 0.0008189198532703014*I}
{4.205062930052235, -0.12133748912369685 - 0.0017625276047340556*I}
{4.215103491803007, -0.12437400136873643 - 0.002870135530403315*I}
{4.225514022701408, -0.12759899637728558 - 0.004157092577564589*I}
{4.236304540805039, -0.13101499180793927 - 0.005639259555231661*I}
{4.247485314726133, -0.1346237424511544 - 0.00733295573912159*I}
{4.2590668737463915, -0.13842619392266936 - 0.009254900554363944*I}
{4.271060018394988, -0.14242244013964012 - 0.011422150624962484*I}
{4.283475831508457, -0.14661168491061374 - 0.013852032504377337*I}
{4.296325689792119, -0.15099220793555987 - 0.016562071422661286*I}
{4.309621275903861, -0.15556133547679982 - 0.019569916402497813*I}
{4.323374591082214, -0.1603154159263062 - 0.02289326210944582*I}
{4.337597968341927, -0.1652498004599364 - 0.02654976781094308*I}
{4.352304086261532, -0.17035882893509782 - 0.030556973824446183*I}
{4.367505983388776, -0.17563582115544102 - 0.03493221583780916*I}
{4.383217073291287, -0.18107307359470856 - 0.039692537484967254*I}
{4.399451160281378, -0.18666186164203202 - 0.04485460155755103*I}
