{4.0000000048799365, 0. + 0.9999999999999404*I}
{4.000000078074725, 9.149408055392582*^-9 + 0.999999990850592*I}
{4.000000395217447, 4.879224483230289*^-8 + 0.9999999512077552*I}
{4.000001248923828, 1.5550550967516584*^-7 + 0.9999998444944902*I}
{4.0000030486336, 3.8046905003572336*^-7 + 0.9999996195309482*I}
{4.000006320389338, 7.894378003726612*^-7 + 0.9999992105621812*I}
{4.000011706553726, 1.46270608570272*^-6 + 0.9999985372937814*I}
{4.000019965466433, 2.4950641292578744*^-6 + 0.9999975049351432*I}
{4.000031971042059, 3.995746946450297*^-6 + 0.9999960042498317*I}
{4.000048712310884, 6.088376100202604*^-6 + 0.9999939116118648*I}
{4.000071292904347, 8.910895549535655*^-6 + 0.9999910890654011*I}
{4.000100930487503, 0.000012615504578053372 + 0.999987384383069*I}
{4.000138956140858, 0.000017368594478092272 + 0.9999826311146913*I}
{4.000186813694302, 0.000023350702778045995 + 0.9999766486134688*I}
{4.0002460590160105, 0.00003075651147701222 + 0.9999692420213888*I}
{4.000318359259431, 0.00003979493675084487 + 0.9999602021915339*I}
{4.0004054920717, 0.000050689389978167525 + 0.9999493055257286*I}
{4.0005093447669795, 0.00006367833631361827 + 0.9999363137179074*I}
{4.0006319134684505, 0.00007901633820932162 + 0.9999209734263145*I}
{4.000775302222831, 0.00009697584419208218 + 0.9999030159642098*I}
{4.000941722091489, 0.00011785005823674063 + 0.9998821572148627*I}
{4.001133490222371, 0.00014195728312265367 + 0.9998580981582912*I}
{4.001353028907094, 0.00016964714107684027 + 0.999830526656514*I}
{4.001602864627732, 0.00020130899265956225 + 0.9997991214825879*I}
{4.001885627097907, 0.0002373826451465306 + 0.9997635599792281*I}
{4.0022040483029535, 0.00027837100504903164 + 0.9997235311505381*I}
{4.002560961544007, 0.0003248536337970967 + 0.9996787563457434*I}
{4.002959300490973, 0.00037749918366502 + 0.9996290198699908*I}
{4.003402098249421, 0.0004370734411021747 + 0.999574211705831*I}
{4.0038924864465315, 0.0005044382715930745 + 0.9995143838863594*I}
{4.00443369434127, 0.0005805353105070489 + 0.9994498207767191*I}
{4.005029047964062, 0.0006663470293582361 + 0.9993811214957359*I}
{4.005681969291232, 0.0007628271477632306 + 0.9993092899388979*I}
{4.006395975459594, 0.0008707926137672081 + 0.9992358244757489*I}
{4.00717467802652, 0.0009907708735091057 + 0.9991627956743275*I}
{4.008021782280932, 0.0011227991396490311 + 0.9990928967952717*I}
{4.00894108661061, 0.001266176929611383 + 0.9990294488679935*I}
{4.009936481931277, 0.0014191791425464397 + 0.9989763405441462*I}
{4.0110119511828906, 0.0015787439889857805 + 0.998937883227943*I}
{4.012171568898606, 0.0017401575441774694 + 0.9989185646902611*I}
