{1.`32., -5.757770465263374*^-11}
{2.`32., -6.493794213168583*^-11}
{3.`32., -2.6452906584579273*^-11}
{4.`32., -5.6808192696030104*^-11}
{5.`32., -5.4646392610141866*^-11}
{6.`32., -4.3342256123221224*^-11}
{7.`32., -6.226789508091419*^-11}
{8.`32., -5.961781584458534*^-11}
{9.`32., -3.486856135431403*^-11}
{10.`32., -3.392441070661854*^-11}
{11.`32., -3.957994033479354*^-11}
{12.`32., -3.864616237815268*^-11}
{13.`32., -5.0903778304776807*^-11}
{14.`32., -6.374096953217844*^-11}
{15.`32., -4.134792586743323*^-11}
{16.`32., -4.17311882795597*^-11}
{17.`32., -5.662150334389963*^-11}
{18.`32., -3.576741270196297*^-11}
