{1.`32., 2.638159997128118}
{2.`32., 2.645519946763718}
{3.`32., 2.658715654565253}
{4.`32., 2.660395600956853}
{5.`32., 2.6611443046052585}
{6.`32., 2.6611669883214377}
{7.`32., 2.6612537281739685}
{8.`32., 2.6613029167164184}
{9.`32., 2.6613102641866053}
{10.`32., 2.6613112016572713}
{11.`32., 2.6613186995263742}
{12.`32., 2.6613189423940233}
{13.`32., 2.6613193964372788}
{14.`32., 2.661319585349294}
{15.`32., 2.661322612857817}
{16.`32., 2.6613271346264162}
{17.`32., 2.661332642763831}
{18.`32., 2.6613331062557593}
