{1.`32., 7.130469703583825*^-6}
{2.`32., 0.4987601640813158}
{3.`32., 0.6370201301661883}
{4.`32., 2.422461060900843}
{5.`32., 2.8548783341265276}
{6.`32., 3.5881911640667306}
{7.`32., 4.087885246083919}
{8.`32., 4.808472899358284}
{9.`32., 5.068088547794096}
{10.`32., 5.346920871911787}
{11.`32., 5.557307338945773}
{12.`32., 5.755573232589642}
{13.`32., 5.858755057375349}
{14.`32., 6.045162022701868}
{15.`32., 6.233715446067642}
{16.`32., 6.379332279563294}
{17.`32., 6.45805956843651}
{18.`32., 6.520030037200402}
{19.`32., 6.581738611227654}
