{1.`32., 2.638159997128118*"max"}
{2.`32., 2.645519946763718*"max"}
{3.`32., 2.658715654565253*"max"}
{4.`32., 2.660395600956853*"max"}
{5.`32., 2.6611443046052585*"max"}
{6.`32., 2.6611669883214377*"max"}
{7.`32., 2.6612537281739685*"max"}
{8.`32., 2.6613029167164184*"max"}
{9.`32., 2.6613102641866053*"max"}
{10.`32., 2.6613112016572713*"max"}
{11.`32., 2.6613186995263742*"max"}
{12.`32., 2.6613189423940233*"max"}
{13.`32., 2.6613193964372788*"max"}
{14.`32., 2.661319585349294*"max"}
{15.`32., 2.661322612857817*"max"}
{16.`32., 2.6613271346264162*"max"}
{17.`32., 2.661332642763831*"max"}
{18.`32., 2.6613331062557593*"max"}
{19.`32., 2.6613354541862737*"max"}
{20.`32., 2.6613404116441814*"max"}
