{1.`32., 1.230989185081212}
{2.`32., 1.2490603430387295}
{3.`32., 1.6239470656474555}
{4.`32., 2.9775960895357536}
{5.`32., 3.324035282596629}
{6.`32., 3.7912844831029315}
{7.`32., 4.671017021895675}
{8.`32., 5.2807001766198916}
{9.`32., 5.737580973791995}
{10.`32., 6.045490674159551}
{11.`32., 6.447723579036168}
{12.`32., 6.7973941913884035}
{13.`32., 6.963321259820401}
{14.`32., 7.302646850611186}
{15.`32., 7.659163803642453}
{16.`32., 8.065286949432803}
{17.`32., 8.289993543465553}
{18.`32., 8.47809939982153}
{19.`32., 8.60575834545288}
{20.`32., 8.858074630288035}
