{1.`32., 0.18609400856469263}
{2.`32., 2.0564871851731605}
{3.`32., 3.540412818463869}
{4.`32., 3.7442035643373686}
{5.`32., 3.860146484280723}
{6.`32., 3.9003571522000016}
{7.`32., 3.9899661332491987}
{8.`32., 4.036787636244996}
{9.`32., 4.070209346380543}
{10.`32., 4.076747916204702}
{11.`32., 4.098650459329727}
{12.`32., 4.101993840543116}
{13.`32., 4.106554676775397}
{14.`32., 4.110193498322632}
{15.`32., 4.118028627000402}
{16.`32., 4.124036078618673}
{17.`32., 4.126374039315073}
{18.`32., 4.1284356620796}
