{1.`32., 0.0009320550017830259}
{2.`32., 0.03956934248843906}
{3.`32., 0.05531442648097502}
{4.`32., 0.05694745317053112}
{5.`32., 0.06326841617465838}
{6.`32., 0.06705576080559812}
{7.`32., 0.07467480844839887}
{8.`32., 0.09553993178543027}
{9.`32., 0.11677203991974039}
{10.`32., 0.13521573678880297}
{11.`32., 0.18352238452598368}
{12.`32., 0.1948530380956268}
{13.`32., 0.2164064921994265}
{14.`32., 0.2677453241462845}
{15.`32., 0.3318085685558357}
{16.`32., 0.3966028732936624}
{17.`32., 0.4425618235683529}
