{1.`32., 4.5701601678117227*^-7}
{2.`32., 0.0017187664244710831}
{3.`32., 0.0031294382609819396}
{4.`32., 0.006848858871200907}
{5.`32., 0.009295893953085731}
{6.`32., 0.009845430714233978}
{7.`32., 0.012187015012976992}
{8.`32., 0.013493148185709253}
{9.`32., 0.01537538561275114}
{10.`32., 0.016275776684467568}
{11.`32., 0.017807768421783422}
{12.`32., 0.020296886166949586}
{13.`32., 0.02136045634936613}
{14.`32., 0.02709145544260398}
{15.`32., 0.032675280330384956}
{16.`32., 0.043550108206713886}
{17.`32., 0.05372305039565926}
{18.`32., 0.056474052031177606}
