{8.3701041895420384975`3., 0, 7.9700984261635229557`3.725372425662357, -0.3421772317542995934`3.}
{47.0598418310317612168`3., 0, -0.9163732421156763541`2.785981140349534, -1.7581651413074477208`3.}
{8.5192013186590234142`3., 2.`32., 7.9789264824432218503`3.725853204461278, -0.1960059933247159103`3.}
{17.0761465401435863498`3., 2.`32., 0.2692174011016258491`2.2540118684062755, -0.5265822967404638622`3.}
{11.7657067076269932215`3., 4.`32., 7.9693149674830742622`3.72532973252509, -2.8870524458407254009`3.}
{11.7656048928052641145`3., 4.`32., 7.9693100952432813714`3.725329467008227, -2.8870311218469639769`3.}
{28.2193156836635630214`3., 4.`32., 0.1435438266759473748`1.9808932606732466, -1.3936353968438905948`3.}
{23.5289798509490140077`3., 6.`32., 0.2211925315292569811`2.168679200058041, -1.1457831943951422016`3.}
{47.0593500003969609224`3., 6.`32., 0.3764798707090194681`2.399650501630576, -2.6999625940510774136`3.}
{31.4925527759316032927`3., 8.`32., 0.0427103822320963937`1.4544421990615541, -1.6158166063071635055`3.}
{3.7862522353668284225`3., 8.`32., -1.7349764465983233216`3.063202324289187, -0.1143551179091158859`3.}
{73.4799353069530098992`3., 8.`32., 9.0562713364460968176`3.7808581669523793, -1.0384990776774678523`3.}
{4.307326546575035664`3., 10.`32., -2.2591889120560767431`3.177861288833788, -0.2938977921556768513`3.}
{45.4637618045693727709`3., 10.`32., -0.4255227688486292626`2.452831544191625, -1.7275466083197972278`3.}
