{8.3703027361205322165`3., 0, 7.9701102880891859518`3.7253730720238893, -0.3628429295753333172`3.}
{13.7109977737142809673`3., 2.`32., 0.2518370080657457208`2.2250282920447657, -0.4073330895388622697`3.}
{5.5191730721400338311`3., 3.`32., 7.7618792577474598693`3.7138756236021333, -0.4060331186556896954`3.}
{59.2617478685327441212`3., 3.`32., -1.1155931192354985915`2.87141456790148, -0.8892977398994659222`3.}
{22.8834826042519914324`3., 3.`32., -0.5822077252531074142`2.588986704693172, -0.2019632800316884802`3.}
{11.7657060998462021928`3., 4.`32., 7.8045149870282982766`3.7162546598735426, -1.476573498361535508`3.}
{23.5304120484189382978`3., 4.`32., 0``2.823908740944319, -2.0755351578906027221`3.}
{48.5756915689296420169`3., 4.`32., 8.8493267004604647455`3.7708189696762235, -0.1996428031967013572`3.}
{17.6480603826700708225`3., 5.`32., 8.3389725317863718375`3.74502128423618, -2.3058731280505107009`3.}
{35.2950917581469312267`3., 5.`32., 0.314704958854293695`2.3218123271562012, -2.5281210166675025519`3.}
{17.6480685455057013655`3., 5.`32., 8.0538053607312918576`3.7299098705884908, -2.3057239282488466436`3.}
{75.0542205512519302602`3., 5.`32., 9.0668704340801997109`3.7813661506340974, -0.3330599312404671775`3.}
{0.0009999900510451075`3., 6.`32., 3.4538826409902359431`3.362216317593172, -0.6220078721733277582`3.}
{23.5304241775187463759`3., 6.`32., 0.5165220785063656695`2.5369976309210633, -1.4575816306656983468`3.}
{23.530441128046355459`3., 6.`32., 0.5162031494313377322`2.536729390854762, -1.4575810120547312287`3.}
{47.2797216546263641135`3., 6.`32., 0.1817151126565623261`2.0832997886178917, -1.9556874810507025586`3.}
{23.5312565201471386445`3., 6.`32., 0.5162110846013917079`2.536736066858354, -1.4575523726310977146`3.}
{8.3485862512238178113`3., 7.`32., 7.968811245932669951`3.7253022809304794, -0.1378084309715346956`3.}
{0.0009999905411546717`3., 7.`32., -5.7342276043915287555`3.582383668021743, -0.2844394848856717228`3.}
{29.4122349091733994442`3., 7.`32., 0.17007184482213215`2.054541163607657, -2.1489175853494826285`3.}
{63.7344533822647747456`3., 7.`32., -0.3878251461783818016`2.412544705801643, -2.0435843780679081583`3.}
{0.0009999901182575306`3., 8.`32., 3.4538824459264398197`3.3622162930656643, -0.2480168437887689536`3.}
{4.5857923912977991421`3., 8.`32., -1.8095767849666940572`3.081485757004073, -0.107213612945757597`3.}
{35.2951020141024756072`3., 8.`32., 0.1649422564827827732`2.0412406725520404, -2.3884515004775854763`3.}
{76.4715880476226743667`3., 8.`32., -0.2967333566613776889`2.2962751103137364, -2.6434625349536000627`3.}
{77.0662680954067695893`3., 8.`32., 9.0800980519066688956`3.7819992792420645, -0.4477025615542054582`3.}
