{2.8931535338727810145`3.3010299956639813, 0, 7.9701123571939785313`3.725373184770218, -0.3636099570964653194`3.}
{8.441199017013024609`3.3010299956639813, 0, 9.0408895962577796464`3.7801199067888827, -1.7228161291952763801`3.}
{3.5774920355314091935`3.3010299956639813, 2.`32., 0.2740239057404142072`2.261697193101451, -0.3778942356232557476`3.}
{8.5272422431058005546`3.3010299956639813, 2.`32., 9.0510307217034506543`3.780606779957148, -0.1435617238554549591`3.}
{3.43011746184196807`3.3010299956639813, 4.`32., 8.136724153466799688`3.734358333988247, -1.9033187440587404637`3.}
{4.8508155293315708584`3.3010299956639813, 4.`32., 0.042073472407229098`1.4479170976265336, -3.0100232339856631825`3.}
{0.0316226189001206128`3.3010299956639813, 4.`32., -3.8621981516887216906`3.4107432926190207, -0.2404090342955473025`3.}
{0.0316226192751203094`3.3010299956639813, 6.`32., 3.453882640825308515`3.362216317572433, -0.6309091849933772256`3.}
{4.8508153849958824284`3.3010299956639813, 6.`32., 0.2248389526868386041`2.175780294600506, -1.4178073362074201658`3.}
{6.8600162269886148173`3.3010299956639813, 6.`32., 0.3206139383106067097`2.329891139810233, -3.1310860032165823696`3.}
{0.0316226203257242869`3.3010299956639813, 8.`32., 3.4538824509198736086`3.3622162936935434, -0.2514583471628344946`3.}
{2.0937009691308987573`3.3010299956639813, 8.`32., -1.8751201459830335729`3.0969378407764707, -0.1257378454425052139`3.}
{5.8843972117901426436`3.3010299956639813, 8.`32., 0.0689230403627805581`1.6622731679277218, -1.6899674357301466276`3.}
{8.4017400189059333627`3.3010299956639813, 8.`32., -0.3367409245229708442`2.351204640862114, -2.4109868028392398287`3.}
{8.4017400271800375445`3.3010299956639813, 8.`32., -0.3367444667152663903`2.3512092092004564, -2.4109870407241120738`3.}
