{8.3703373705551982198`3., 0, 7.9701123571936587351`3.725373184770201, -0.3636099570972414763`3.}
{71.2538408457593561707`3., 0, 9.0408895962643595181`3.7801199067891993, -1.7228161465391496066`3.}
{12.7984492640566820398`3., 2.`32., 0.2740239057607633982`2.261697193133702, -0.3778942356070432718`3.}
{72.7138603133268617285`3., 2.`32., 9.0510307219834841986`3.780606779970585, -0.1435617249120300642`3.}
{11.7657058125052955688`3., 4.`32., 8.1367241539177030825`3.7343583340123123, -1.9033187460846914263`3.}
{23.5304113034988588993`3., 4.`32., 0.0420734725582857198`1.4479170991857835, -3.0100232371258042186`3.}
{0.000999990026102265`3., 4.`32., -3.8621981498751355452`3.4107432924150873, -0.240409034931564014`3.}
{0.0009999900498192085`3., 6.`32., 3.4538826408253074589`3.362216317572433, -0.63090918421928599`3.}
{23.5304097571421770851`3., 6.`32., 0.2248388594929377586`2.1757801145889695, -1.4178073281456189392`3.}
{47.0598186300115841618`3., 6.`32., 0.320613882548339275`2.3298910642762523, -3.1310852951770913322`3.}
{0.0009999901162649053`3., 8.`32., 3.4538824509198918503`3.3622162936935456, -0.2514583465700298004`3.}
{4.3835837482057851133`3., 8.`32., -1.8751201460255501642`3.0969378407863166, -0.1257378454721616856`3.}
{34.6261305436447486272`3., 8.`32., 0.068923040225577029`1.6622731670631818, -1.6899674352788582876`3.}
{70.5892353296509327265`3., 8.`32., -0.3367409588360869412`2.3512046851157087, -2.4109868054242928892`3.}
{70.589243205074254206`3., 8.`32., -0.3367445113941468645`2.3512092668221602, -2.410986436276569389`3.}
