{8.3698341696813240986`3., 0, 7.9700822786895577548`3.725371545777872, -0.3862593826050077506`3.}
{0.0009999900551526085`3., 1.`32., -5.4741319002403211464`3.5622239985519277, -0.7370130850897961272`3.}
{8.3410976652555177679`3., 1.`32., 7.9683625418921757767`3.725277826194471, -0.2752105463137083374`3.}
{0.0009999900876833524`3., 2.`32., -5.5964675188579052509`3.5718227284615898, -0.4035427343680011991`3.}
{8.3695261689739055555`3., 2.`32., 7.9700638053145057248`3.725370539151609, -0.2779832025915326409`3.}
{8.3696781315908133081`3., 3.`32., 7.9700727933467260398`3.725371028915642, -0.1486360944435371756`3.}
{0.000999990216303555`3., 3.`32., -5.6156614485227045322`3.5733096585364432, -0.1481421905135533179`3.}
{0.0009999901296103616`3., 4.`32., -5.5825540560106327036`3.5707416779924923, -0.2248156061388347227`3.}
{0.0009999901550509199`3., 5.`32., -5.5752163894520006844`3.57017046915262, -0.1868572490523807139`3.}
{0.0009999901405742151`3., 6.`32., -5.5764580703018165434`3.5702671820087093, -0.2068791727899314814`3.}
{0.0009999902292669718`3., 7.`32., -5.5780292313673672452`3.570389526777591, -0.1270512514184087283`3.}
{0.0009999901580347392`3., 8.`32., -5.5787495405191292842`3.570445605023241, -0.1845581713266588597`3.}
{0.0009999901761432062`3., 10.`32., -5.578516031862652873`3.570427426461416, -0.1656086903183707215`3.}
