{8.3698405560666131464`3., 0, 7.9700826826854815134`3.725371567791848, -0.4899577740021776039`3.}
{8.3527799980558299353`3., 2.`32., 7.9690624412295585521`3.7253159706777392, -0.3678169111049240936`3.}
{17.6480632497564435823`3., 2.`32., 0.0546414283810042481`1.5614307846536664, -1.4252647501272122099`3.}
{76.5573456040360866837`3., 2.`32., -0.6079775397441698291`2.6077962765569507, -1.8870465516450987131`3.}
{9.3375636838630509118`3., 4.`32., 8.0247878736588984447`3.7283423020814133, -0.5595136287518865936`3.}
{23.9872939277845311778`3., 4.`32., -0.3939654160195023318`2.4193668402036064, -0.9915986615107132973`3.}
{4.0040545037263965966`3., 6.`32., -1.5263367153090808987`3.0075590920400437, -0.1735848335259716491`3.}
{8.3537178001523244575`3., 6.`32., 7.9691185593572593242`3.7253190289681677, -0.2969519271337492383`3.}
{41.1774161851916034038`3., 6.`32., -0.6062429065153108972`2.6065554110218043, -2.1627061715855062651`3.}
{23.5305489788808444018`3., 6.`32., 8.4763278343416914523`3.752116486280413, -1.202344617291105866`3.}
{23.5319709103817586993`3., 6.`32., 8.4763571022723745536`3.7521179858541784, -1.2023444419228219715`3.}
{0.0009999901276629562`3., 8.`32., -5.5007264053622431989`3.564328785531178, -0.223382124045333974`3.}
{5.2673360238627751073`3., 8.`32., -2.0252768494341640922`3.130393139341114, -0.7252447056127943048`3.}
{8.3672314874616962044`3., 8.`32., 7.9699266995397134384`3.7253630680955356, -0.2860751608578224747`3.}
{35.2952077095292082731`3., 8.`32., 8.4343459500683392715`3.7499601513680507, -2.8666064541894691331`3.}
{58.8246387407679165449`3., 8.`32., -1.056369550025889816`2.8477246150710993, -2.2099677483859974103`3.}
{0.0009999900946164352`3., 10.`32., -5.5932014423187445971`3.571569201916054, -0.2985479595086024673`3.}
{5.2058767575472906231`3., 10.`32., -2.3333990657867720078`3.1918977605987924, -2.1073382207454289805`3.}
{76.4716734304825962454`3., 10.`32., -1.2129686433956015177`2.9077583149549304, -2.9077167645381045702`3.}
{47.0600137644735525555`3., 10.`32., 8.4884771655229325358`3.7527385256605177, -2.6059262072163935642`3.}
{47.0598769411866015844`3., 10.`32., 8.8284357461609087674`3.76979250148773, -2.6060828007690259867`3.}
