{8.3707901031896199129`3., 0, 7.9701394015863481097`3.72537465842704, -0.3855738367557755009`3.}
{14.7407261395428488271`3., 2.`32., 0.1689634395292088914`2.051701482667779, -0.50727971512900627`3.}
{76.4716225032774872261`3., 2.`32., -0.2967322278734030918`2.2962734582334767, -2.3787081190439698375`3.}
{77.0432098309371724554`3., 2.`32., 9.0799484396299307961`3.781992123336793, -0.5403177471811430044`3.}
{7.7040820472595648027`3., 3.`32., 7.9286404288956748195`3.723107463589815, -2.5628910480618740664`3.}
{47.059824221083893292`3., 3.`32., -0.5394807558031476254`2.5558846982161385, -1.3777566161218763874`3.}
{23.5304081434118472771`3., 4.`32., -0.1639598653650872641`2.038646293969951, -1.2295499221530750145`3.}
{11.7657076701660390228`3., 4.`32., 7.2133793348852317005`3.6820475122742216, -0.4831618079375878949`3.}
{43.2512844812063121935`3., 4.`32., 8.7912785231869297159`3.767960780430772, -0.1106986430420599382`3.}
{0.0009999900244890302`3., 5.`32., -5.5478956942332551801`3.5680370282690044, -1.0637291423965442583`3.}
{8.4049510062494068308`3., 5.`32., 7.9721757296534247618`3.725485604176186, -1.7824501632657112626`3.}
{29.4127296882015762947`3., 5.`32., -0.1206048932564267843`1.9052736695706187, -1.6423409883455510894`3.}
{64.7067034480349860814`3., 5.`32., 8.9787824343147492143`3.7771261892029906, -0.9779864356744414344`3.}
{64.7067638198269037275`3., 5.`32., 8.2259539319600656591`3.7390950139327486, -0.9778380341427190814`3.}
{29.4127312143852392978`3., 6.`32., 7.7524109884798118415`3.713345529406218, -1.9423537047680958789`3.}
{35.2951281568152168688`3., 6.`32., -0.1212024699465239757`1.9074202112136618, -1.9896118522044710097`3.}
{29.4127039574789641563`3., 6.`32., 8.5822942772614950291`3.7575121428678044, -1.9425013902260921395`3.}
{4.7257988574698677198`3., 7.`32., -1.5962230459674356391`3.027002317723894, -0.1635322529281923176`3.}
{34.6698604147295910138`3., 7.`32., 1.1253285449728278058`2.8751880762253985, -1.7415592901862251285`3.}
{47.0598082438898330793`3., 7.`32., -0.4990192541884043425`2.522026043734955, -2.4416098316799441648`3.}
{47.0598195051012950785`3., 7.`32., -0.4982319575843299006`2.521340321546265, -2.4416080317696171598`3.}
{4.9686208890360736845`3., 8.`32., -2.026051283247825875`3.1305591749348527, -0.462122996649206641`3.}
{41.1778373237539270235`3., 8.`32., 0.5781112009352481499`2.585920124879623, -2.1362172270849444367`3.}
{54.2622514006142182552`3., 8.`32., -0.3880144289981095298`2.4127566168419867, -2.3728168663100439595`3.}
{5.5540749951476300339`3., 9.`32., -2.0191391921745288591`3.1290749996153773, -0.37320589926546055`3.}
{64.7070344239350134785`3., 9.`32., 0.2466584073459475532`2.216004663911849, -2.8334104981368652965`3.}
{47.0605567482906863574`3., 9.`32., 0.3945224364239396814`2.419980447445487, -3.4230469787670925186`3.}
{64.7070312712294111179`3., 9.`32., 0.2458199025270316387`2.2145257830738774, -2.8334097773341473392`3.}
{5.1775515269737573121`3., 10.`32., -2.3360805996827542934`3.1923965637141323, -1.626611826459238852`3.}
{52.9459619154283132048`3., 10.`32., 0.1473872859069128577`1.9923687624685642, -2.787689371325468457`3.}
