{8.3735225661328112068`3., 0, 7.9703025923810577741`3.7253835506348794, -0.5476631503366657938`3.}
{8.3706451793092035985`3., 2.`32., 7.9701307233232306873`3.7253741855464986, -0.4392858230146478027`3.}
{23.5304064362608436056`3., 2.`32., 0.15034505806735348`2.000997898094176, -1.1856288373922994062`3.}
{72.8843807960262495271`3., 2.`32., -0.358093476902317699`2.37790515083885, -1.6929481274425008941`3.}
{9.0432308987482787899`3., 4.`32., 8.0087734341243538329`3.7274747487163293, -0.5785961904283832835`3.}
{29.4128408336856104199`3., 4.`32., -0.7532622404292241762`2.7008549385850023, -1.717599254799104358`3.}
{76.4716115941588583382`3., 4.`32., 1.8298845098907770996`3.0863324217677017, -2.1340012870072500029`3.}
{76.4716003782283593182`3., 4.`32., 1.831733546955596331`3.0867710402417634, -2.1340017170653440282`3.}
{76.4715917603458450458`3., 4.`32., 1.8288724709731834184`3.0860921637068954, -2.1340016142075439731`3.}
{4.8605336730608188489`3., 6.`32., -1.5409153028847483078`3.011687509123686, -0.2945752314670844751`3.}
{8.3556261453727795896`3., 6.`32., 7.9692327840985097374`3.7253252538497446, -0.3582603449758482994`3.}
{70.5894987057974532263`3., 6.`32., 9.0018364057783025456`3.778239856999195, -0.7458809024618989758`3.}
{23.5304054091416503525`3., 6.`32., 8.4729736877558583607`3.751944598681287, -0.7557999418859832064`3.}
{42.0990380005101343386`3., 6.`32., -1.0006177082791798114`2.8241769254200326, -1.6991440739777476931`3.}
{70.5894534955267261012`3., 6.`32., 9.0361574013838718976`3.7798925282609357, -0.7458827371438314646`3.}
{0.000999990089108686`3., 8.`32., -5.5229364194795374381`3.566078784561236, -0.2840871013198001949`3.}
{5.3404652970035755288`3., 8.`32., -2.0329659400601587768`3.1320388435529236, -0.9559012756332500027`3.}
{8.3665620015299424495`3., 8.`32., 7.9698866981297113638`3.7253608883471037, -0.3466098612419666325`3.}
{34.8658572995375521941`3., 8.`32., 8.6835192026660499674`3.762604509963267, -0.8079557734049769291`3.}
{56.095415923406129366`3., 8.`32., -1.3679011006797758764`2.959963439949984, -2.0029288454790541429`3.}
{0.0009999900772635635`3., 10.`32., -5.595871786351414381`3.571776496242668, -0.3698690341760897393`3.}
{5.6528895252675681604`3., 10.`32., -2.2921641775920005717`3.1841544619485247, -1.1874921966718663402`3.}
{70.589393545100818983`3., 10.`32., -1.5798884467256095642`3.0225351641760554, -2.4826292187756084928`3.}
{49.3460803622844252914`3., 10.`32., 8.8571942762177692991`3.771204911665248, -0.8191478015788287159`3.}
