{8.3705740810367235127`3., 0, 7.9701265005108051981`3.7253739554442973, -0.6005311605082707116`3.}
{9.2626527331690819977`3., 2.`32., 8.0207599907132315209`3.7281242618638317, -0.8037734535743705777`3.}
{18.2955636010390989554`3., 2.`32., -1.0118596681328504019`2.8290290265889, -1.2857649802106385639`3.}
{31.2254969388007843634`3., 2.`32., 8.6283818899343602283`3.759838099560829, -0.2106755021909641756`3.}
{18.2953956484453428288`3., 2.`32., -1.0117766785061696238`2.8289934056266635, -1.2857603747567196706`3.}
{61.1325005734519351108`3., 2.`32., 8.9642869076079274425`3.7764244888962466, -0.1948988226555805336`3.}
{0.000999990037518391`3., 4.`32., -5.43848951420236913`3.559387036462982, -0.6810314510167762014`3.}
{17.648097073393483214`3., 4.`32., -1.7521865244607729072`3.0674890769271976, -1.2212344375585431067`3.}
{35.2954400075944292325`3., 4.`32., 0.6460871019276375366`2.6341998120919525, -1.8020218108984611405`3.}
{35.295133399067459834`3., 4.`32., 0.6464077650440003929`2.6344153057521633, -1.8020301240364555717`3.}
{0.0009999900637927886`3., 6.`32., -5.6081261680532061855`3.572726516493673, -0.462894484555174679`3.}
{70.6624667464391222893`3., 6.`32., 9.0367224970073578552`3.7799196869553437, -2.0444652840762826962`3.}
{17.648353162536903227`3., 6.`32., -2.2825702408622457512`3.1823328917725644, -1.9855213426564124468`3.}
{0.0009999900708845811`3., 8.`32., -5.5790101783526533661`3.5704658946827696, -0.4136415135973288137`3.}
{0.0010533670738822969`3., 8.`32., -6.5861753147432749857`3.6425420277836524, -0.099769071824046679`3.}
{23.5304057530486652183`3., 8.`32., -2.456432430270792068`3.214213563327581, -1.3779010714238619784`3.}
{0.0009999900745864222`3., 10.`32., -5.5777075818014996153`3.5703644830473684, -0.3910834622029945584`3.}
{0.0009999901527141732`3., 10.`32., -7.0013858067845758952`3.6690927507689635, -0.2113135451296387912`3.}
{28.8598405372957245163`3., 10.`32., -2.6367893749551328346`3.2449841809584394, -1.505224409580202094`3.}
