{8.3702141189616803274`3., 0, 7.9701049937867282696`3.7253727835351444, -0.4891614557280100639`3.}
{8.3686352687394549577`3., 2.`32., 7.9700105803021755422`3.7253676388729042, -0.3276626809213492031`3.}
{35.2951186000509125051`3., 2.`32., 0.3429905665476563487`2.3591909165187595, -2.0369638770792999338`3.}
{17.6480282660513942972`3., 2.`32., -1.0298772456577373064`2.8366942037946035, -1.8959216793637261311`3.}
{17.6479926768158215111`3., 2.`32., -1.0298685967279280025`2.8366905565655007, -1.8959116594603253603`3.}
{0.0009999901040669158`3., 4.`32., -5.5229735263039436578`3.5660817024356635, -0.2565425020021115943`3.}
{8.3704125735182195456`3., 4.`32., 7.9701167505524395898`3.72537342416594, -0.2456142397777869024`3.}
{27.6243035303682233916`3., 4.`32., -1.7642163153445255543`3.070460575028581, -1.3688650641959481113`3.}
{8.3693783253141642575`3., 6.`32., 7.9700549262645893426`3.7253700553255547, -0.1883769502191256495`3.}
{0.0009999900624330098`3., 6.`32., -6.8076969372211706441`3.656908954674471, -0.438675328752199889`3.}
{41.1774270089475606937`3., 6.`32., -2.1102553957713256309`3.148243760347224, -2.2086565652077543298`3.}
{0.0009999902007495579`3., 8.`32., -5.57881958056391603`3.5704510574662662, -0.1456931387737496753`3.}
{0.0009999900730299903`3., 8.`32., -7.0621448105588017232`3.6728453595497337, -0.6691828432582301867`3.}
{52.9437360181452305596`3., 8.`32., -2.426411219517971303`3.208873146392111, -2.6310490962415933325`3.}
{0.0009999902637042293`3., 10.`32., -5.5779608610526140683`3.5703842035655455, -0.1106303190754653609`3.}
{0.0009999900622688739`3., 10.`32., -7.3598503324347246122`3.690777723697765, -0.9501996977657918286`3.}
{71.3593983553712831736`3., 10.`32., -2.5200958315976338833`3.225325796941223, -1.1935371372975911441`3.}
