{8.3747552913460960866`3., 0, 7.970376188352335517`3.7253875607933766, -0.4759481252377101845`3.}
{10.6039586138302599494`3., 1.`32., 8.088378810944358162`3.7317702237411985, -0.7425226942733182955`3.}
{28.4496926873567304028`3., 1.`32., -1.2680992899762017704`2.927062000326448, -1.118501538747217694`3.}
{23.5303913112842693067`3., 2.`32., -1.9524684702604236065`3.114492770278559, -2.0918720748552024347`3.}
{24.5703875385882639648`3., 2.`32., 8.5085362083587600738`3.7537635922964725, -1.9942156947037623649`3.}
{0.0009999900779594382`3., 3.`32., -5.4169684934364928708`3.5576650505639247, -0.3093057222345968471`3.}
{8.6644759914657445421`3., 3.`32., -2.7718000746115694718`3.2666706430658197, -1.6996511482173066732`3.}
{8.3781088520061590685`3., 3.`32., 7.9705762568471487457`3.725398462104774, -0.2312906337256238065`3.}
{43.5186522505195227949`3., 3.`32., 8.7943599465585887009`3.768112977939292, -1.0805059761473161384`3.}
{0.0009999901343567309`3., 4.`32., -5.5737954059117866154`3.5700597642174996, -0.2004179457302987244`3.}
{0.0009999900516738298`3., 4.`32., -7.4349981230994979931`3.695189604168448, -1.4620152958792873576`3.}
{62.2822578991648327928`3., 4.`32., 8.9736031763433141731`3.776875601535308, -0.6293227336329069166`3.}
{8.3688607818240843272`3., 5.`32., 7.97002397844685322`3.72536836895166, -0.1610443286311840916`3.}
{0.0009999902029492449`3., 5.`32., -7.6001123174800615229`3.7047287514489753, -0.4833776703141913766`3.}
{0.000999990163754437`3., 5.`32., -5.6112671639311975467`3.572969687790511, -0.179707622021062885`3.}
{0.0009999904455683397`3., 6.`32., -7.7154069363634074974`3.7112675780909083, -0.2285965094563572886`3.}
{0.0009999907809269154`3., 7.`32., -7.830086461636317094`3.717675298609444, -0.131083594651997315`3.}
{0.0009999901295125069`3., 8.`32., 3.4538825729403677367`3.3622163090365165, -0.2252192016354711002`3.}
