{8.3703943526954525112`3., 0, 7.9701157666680703028`3.7253733705537293, -0.6621903339024736157`3.}
{8.7783077626154426554`3., 2.`32., 7.9939070625404677407`3.7266678357740255, -0.7147706756477076873`3.}
{17.6480698303136378513`3., 2.`32., -1.0298716987518008917`2.8366918646836687, -0.8997618739250174968`3.}
{17.6480597299236734443`3., 2.`32., -1.0298564586066093695`2.836685437902603, -0.8997559778357531179`3.}
{35.2959932914557370509`3., 2.`32., 8.6895975238478641525`3.762908402638112, -0.1235438700515609223`3.}
{70.5892837972519799905`3., 2.`32., 8.6855868128905799943`3.762707906386166, -2.733215959393104022`3.}
{35.2953135644323126029`3., 2.`32., 8.6517281866649757373`3.7610116075960422, -0.1235422108903233701`3.}
{70.5891532100626761803`3., 2.`32., 9.0310663925572506509`3.779647775981952, -2.7333620400750260337`3.}
{0.0009999900363932119`3., 4.`32., -5.3759527837159231757`3.5543641866556968, -0.6608710505659958212`3.}
{8.3505815711310518168`3., 4.`32., 7.9689308076823062362`3.725308796910966, -0.5056655459738245151`3.}
{23.5304128546105708608`3., 4.`32., 8.4822650810285474589`3.752420581507183, -2.3777655146533915875`3.}
{15.9864699877872542544`3., 4.`32., -1.7460042045720604921`3.0659540261444804, -0.6017370498642073962`3.}
{59.2335804792050240053`3., 4.`32., 8.9485094113488763116`3.7756594401329493, -0.2931642106122410163`3.}
{23.530937962472282976`3., 4.`32., 8.1651814629551776477`3.735874581882821, -2.3775557451933715392`3.}
{8.3691798471006197957`3., 6.`32., 7.9700431628131989974`3.725369414325479, -0.4915588136917480866`3.}
{13.9716585497045606701`3., 6.`32., -2.1820202806265225132`3.1627675237334234, -0.5459002249278315233`3.}
{44.9648887990003203186`3., 6.`32., 8.8107061953956697925`3.7689194603066496, -1.8700521374057976765`3.}
{0.0009999900422743949`3., 6.`32., -5.6808738831279865912`3.5783238888785824, -0.7082028639563302529`3.}
{0.0009999900636718313`3., 8.`32., -5.5739180324824845948`3.570069318830343, -0.4648637390399855129`3.}
{0.0036328278825077795`3., 8.`32., -5.679526450839865815`3.578220867436905, -0.2025930839594560773`3.}
{8.3695331096551104366`3., 8.`32., 7.9700642687137581985`3.7253705644025663, -0.4694805001744499773`3.}
{66.6174539541598846881`3., 8.`32., 9.0072484883340573989`3.7785008849941386, -1.3272497483474385849`3.}
{16.5061911259874882774`3., 8.`32., -2.3546871794641012635`3.1958419601559744, -0.7349792702628070717`3.}
{0.0010322701632426155`3., 8.`32., -6.3086233260438430462`3.6238433383607216, -0.2027455235287771718`3.}
{0.0009999900653281928`3., 10.`32., -5.5767899192039830117`3.570293025627933, -0.4461761568229017927`3.}
{0.0009999901852991984`3., 10.`32., -6.7327880888380993412`3.6521036864242094, -0.1643588982092240025`3.}
{17.6480651144965072774`3., 10.`32., -2.6224443136988177248`3.242615015880425, -1.3474156897445175307`3.}
