{3.`32., Around[0.9962472081679079228495047983305078413976765302359445433004`32., 0.0971640189270881961908894944746425109766532313378668872147`32.]}
{3.5`32., Around[1.2465471231948672249687025996604198212926371967014825684895`32., 0.2034450351660046649919734570830041316508772357862781681044`32.]}
{4.`32., {0, 0}}
{4.5`32., {0, 0}}
{5.`32., {0, 0}}
{5.5`32., {0, 0}}
{6.`32., {0, 0}}
{6.5`32., Around[0.1699373914343506781252863192487976490839662504340291952916`32., 0.0070473561030161768072532915964659533409785263050935718884`32.]}
{7.`32., Around[0.1630081006015770027358223910241212294877667239294923714907`32., 0.018550779757730273630214836617519046582549618579240101076`32.]}
{7.5`32., {0, 0}}
{8.`32., Around[1.3985055513008537412840572668546055081961249969465128036974`32., 0.0349868691641758052006816725138862141898164997499015817477`32.]}
{8.5`32., Around[2.2098703667703713572662476722566119119966193893002991534393`32., 0.0334569529089130969509218449167893305295223941023735505256`32.]}
{9.`32., {0, 0}}
{9.5`32., {0, 0}}
{10.`32., {0, 0}}
