{3.`32., 0}
{3.5`32., 0}
{4.`32., 0}
{4.5`32., 0}
{5.`32., 0}
{5.5`32., Around[0.1513462183658140779629369571332329030666710141540829492914`32., 0.0004409009836791729418381604034267515805567512270529804042`32.]}
{6.`32., Around[0.3817677873947914607367665211108401138212412238926367272122`32., 0.0118040754573364327111321490230595724417063821896958010099`32.]}
{6.5`32., {0, 0}}
{7.`32., {0, 0}}
{7.5`32., {0, 0}}
{8.`32., {0, 0}}
{8.5`32., {0, 0}}
{9.`32., {0, 0}}
{9.5`32., {0, 0}}
{10.`32., {0, 0}}
{12.`32., {0, 0}}
