{3.`32., Around[6.0300033788323955, 0.6645934941470402]}
{3.5`32., Around[6.978756797728374, 0.8011662084748119]}
{4.`32., Around[6.654207976489207, 0.7954529191138575]}
{4.5`32., Around[5.722037969582017, 0.7262940097179884]}
{5.`32., Around[4.504020832641119, 0.5927618097403675]}
{5.5`32., Around[7.765959118546084, 0.8026378587256828]}
{6.`32., Around[11.532132832996076, 1.901674976747751]}
{6.5`32., Around[9.231495603684227, 1.0593155346224687]}
{7.`32., Around[4.769855660732592, 0.3307351838610755]}
{7.5`32., Around[2.6787601544945394, 0.15365012926062538]}
{8.`32., Around[1.2295999726035713, 0.05835498748081025]}
{8.5`32., None}
{9.`32., Around[7.474829833268673*^17, 7.474829833268673*^17]}
{9.5`32., Around[0.45321822618493446, 0.06070265705957248]}
{10.`32., Around[0.38900542092237556, 0.06370445095614272]}
