{3.`32., Around[0.07233314729169736, 0.0014156112410635413]}
{3.5`32., Around[1.262958693328926, 0.000021968562566088146]}
{4.`32., Around[2.6613761596081846, 0.00005354675036750578]}
{4.5`32., Around[3.7498936607012077, 0.0007100010362097731]}
{5.`32., Around[4.341225755036574, 0.008492075873405724]}
{5.5`32., Around[4.469653141018718, 0.07695776226728102]}
{6.`32., Around[4.193945049920606, 0.07591642292020451]}
{6.5`32., Around[3.6739913724233033, 0.118008127795727]}
{7.`32., Around[3.1335692803744033, 0.27331297629419815]}
{7.5`32., Around[9.051162683840477, 0.5761722692904723]}
{8.`32., Around[17.323127734327322, 1.9641377441125938]}
{8.5`32., Around[27.682825564625787, 5.194684799317249]}
{9.`32., Around[38.98023394976052, 10.60152640235813]}
{9.5`32., Around[41.85171287199316, 11.812887083606771]}
{10.`32., Around[47.760590562894734, 12.64978032202232]}
