{3.`32., Around[6.16184737597986, 0.4287707500875495]}
{3.5`32., Around[7.213199064568284, 0.5737881326391578]}
{4.`32., Around[7.257577401561639, 0.7375473643612374]}
{4.5`32., Around[6.553713972529425, 0.8140511751083084]}
{5.`32., Around[5.4875166638131265, 0.7996655878842147]}
{5.5`32., Around[9.789324429261363, 1.311225029439833]}
{6.`32., Around[13.906079215926667, 1.9774334646522318]}
{6.5`32., Around[18.650459155177867, 4.76176246053562]}
{7.`32., Around[12.49040107382869, 3.207995690197148]}
{7.5`32., Around[7.706546980855402, 1.9846888031959264]}
{8.`32., Around[4.6688372690905355, 1.326837058939135]}
{8.5`32., Around[2.6053934108009447, 0.7161626806999214]}
{9.`32., Around[1.354001167493737, 0.3484478027596071]}
{9.5`32., Around[0.7493488279847271, 0.12286966082048428]}
{10.`32., Around[0.6088816234640876, 0.09947366869924534]}
