{3.`32., -4.134792586743323*^-11}
{3.5`32., -6.129571623969978*^-11}
{4.`32., -3.44594679787582*^-11}
{4.5`32., -3.6103613048684944*^-11}
{5.`32., -6.519174295607061*^-11}
{5.5`32., Around[0.15131465378830516, 0.00040028998951878447]}
{6.`32., Around[0.44574851143213584, 0.06925099094077397]}
{6.5`32., Around[0.7190238840956953, 0.10791994656421516]}
{7.`32., Around[0.37315740630988764, 0.04134883775405196]}
{7.5`32., Around[0.17886413437120835, 0.015507738497749474]}
{8.`32., Around[0.07758114639744611, 0.005303327158534932]}
{8.5`32., Around[0.03533855274249591, 0.0026632724121109473]}
{9.`32., Around[0.016862455132316392, 0.0015905303041784113]}
{9.5`32., Around[0.1630313607734792, 0.01735486660442015]}
{10.`32., Around[0.22672584348421815, 0.0252495970640364]}
