{3.`32., Around[0.9781785077768623, 0.08329462494430567]}
{3.5`32., Around[1.0505565167164712, 0.09601955834893872]}
{4.`32., Around[0.9901285420397825, 0.12016652000794609]}
{4.5`32., Around[0.8301096920442873, 0.12007145501691485]}
{5.`32., Around[0.6584825202683278, 0.1140618657894859]}
{5.5`32., Around[0.46886988257152784, 0.07475108116671347]}
{6.`32., Around[0.3172740984866812, 0.04259753948933406]}
{6.5`32., Around[0.21069250872655776, 0.01468488464813876]}
{7.`32., Around[0.15491777140934465, 0.0067055031021265865]}
{7.5`32., Around[0.6772168275016961, 0.017988436230885807]}
{8.`32., Around[1.4470482345370743, 0.04639790650686115]}
{8.5`32., Around[2.391276777589174, 0.10200855315632462]}
{9.`32., Around[3.465812195341583, 0.2742200267140822]}
{9.5`32., Around[4.227519593394856, 0.5028619135869774]}
{10.`32., Around[5.517829663072237, 0.9152219703276545]}
